episode,steps,reward_return,episode_return_rate,avg_q1_loss,avg_q2_loss,avg_actor_loss,avg_alpha_loss,alpha,avg_entropy,action_mean,action_std,avg_cash_ratio,avg_position_ratio
0,376,0.07311650591145735,0.2896734481003791,0.0,0.0,0.0,0.0,0.2,0.0,0.4916493505031425,0.28477286326286105,0.5079817861834602,0.49201821381653965
1,376,-0.4348757033585571,-0.18445264611268375,0.0,0.0,0.0,0.0,0.2,0.0,0.504473467189026,0.2931748481666142,0.4955364079597093,0.5044635920402907
2,376,0.3606304558379634,1.1670173985033334,0.0031067945817557646,0.0034348310337784563,-0.23546183346084845,-2.7384693142055543,0.1924029462878756,0.6814237662064012,0.4890689166588461,0.29950072954410517,0.509623756788429,0.49037624321157103
3,376,0.2270481901941821,1.0078382552068246,0.002380815370533457,0.0024168587917031007,-0.36368785552839017,-2.8664747482918678,0.171878091737863,0.6817920693057649,0.5076505631366943,0.29157129004830895,0.49120223969177174,0.5087977603082283
4,376,0.28559247939119814,0.3556292189113659,0.0029231376965787818,0.002884170591912946,-0.5264246003266345,-3.056882989533404,0.15354048039926502,0.6821649405867496,0.5144098306748461,0.29827672601402383,0.48498053286113046,0.5150194671388696
5,376,-0.11348235981790822,0.3598657810127337,0.0032277743491849445,0.003239704311783227,-0.6751686260104179,-3.24622317831567,0.137162962369141,0.6819477113003426,0.4840185926791201,0.2921235922298704,0.5151989011686116,0.4848010988313884
6,376,0.3021620170038659,0.12549009485323204,0.0034819394012571294,0.0035126236084095657,-0.8056278022679877,-3.4355590140565915,0.12253251455210276,0.6817660431595559,0.4858336328984575,0.29183809750674655,0.5138289953105666,0.4861710046894335
7,376,-0.05533093542908318,0.003917803972079081,0.003983398576507325,0.004052948670776343,-0.9183129482763879,-3.6257134891570884,0.10946245758888054,0.6819781824312312,0.5062638986459438,0.2944882677252781,0.4931915715805646,0.5068084284194353
8,376,0.3088121805421906,-0.14181851606698992,0.00413008931122641,0.0041924800084126084,-1.0157176964777581,-3.8154618987377655,0.09778512910441635,0.6819831831975186,0.5458625169827583,0.29305023301364674,0.45370436163142236,0.5462956383685776
9,376,-0.22806087232856953,-0.4758183684962043,0.0043273795225181955,0.004384516395920729,-1.0996936420176893,-4.003536519852091,0.08735719850760584,0.6813013345954266,0.5093827020139137,0.2986854050199601,0.49076093964353257,0.5092390603564675
