episode,steps,reward_return,epsilon,avg_loss,avg_q
0,376,-6.87516101836809,0.988125,0.004596896699076286,0.01464295855523593
1,376,-5.097498844530492,0.9762183333333333,0.002897642412596937,0.004210759692873677
2,376,-7.749026825549663,0.9643116666666667,0.0026764343251186877,0.0024889014373215145
3,376,-7.815907203666939,0.952405,0.0024352073361366454,-0.0011050574105459592
4,376,-7.760860745111131,0.9404983333333333,0.002189898385234088,-0.0023965388736929103
5,376,-5.992203793082808,0.9285916666666667,0.0019386697525252648,-0.00270976416605334
6,376,-5.473501537122502,0.916685,0.002598379686613508,-0.013989920683478827
7,376,-5.175555340549181,0.9047783333333334,0.0026717710963876404,-0.014695136858635839
8,376,-3.9949784855862163,0.8928716666666667,0.002538313984683903,-0.014432939814411084
9,376,-5.520503374566033,0.880965,0.002638550100295725,-0.012809340360616532
10,376,-4.5948718698600715,0.8690583333333334,0.002528435532982025,-0.014648798748354199
11,376,-4.996376277043055,0.8571516666666666,0.0027827901735981092,-0.0054581503269567275
12,376,-3.665748522187073,0.845245,0.002599508668317093,-0.004450739047008918
13,376,-4.777929569952903,0.8333383333333333,0.002745397819145434,-0.005271342529592035
14,376,-3.7011730534100025,0.8214316666666667,0.0026935819814172374,-0.006921094802314753
15,376,-4.201253517099758,0.809525,0.002615322316179369,-0.0063559740973435875
16,376,-6.1302948801385355,0.7976183333333333,0.0024359768833667832,-0.007109795215581742
17,376,-5.456636145328957,0.7857116666666667,0.0024630773915943907,-0.007371586582287799
18,376,-4.620286198520262,0.773805,0.002367110221499349,-0.008291297370538195
19,376,-4.513549105922948,0.7618983333333333,0.0023652774085503744,-0.007463684884606529
20,376,-5.94377512297433,0.7499916666666666,0.0023378611751584378,-0.006972010870355162
21,376,-2.542605783413819,0.738085,0.0021517857633025802,-0.006329655862770024
22,376,-2.411467807165536,0.7261783333333334,0.0022329011217733113,-0.005360372826776547
23,376,-2.8289552432015626,0.7142716666666666,0.0021411498164525256,-0.004548784980564031
24,376,-3.5610906769643407,0.702365,0.0022673037028846706,-0.0045562479087706415
25,376,-2.3119703537206533,0.6904583333333334,0.002379315393788621,-0.005338279719193877
26,376,-3.847611990871883,0.6785516666666667,0.002366045510496677,0.004374538272887993
27,376,-3.479950042152268,0.666645,0.0024848053884504243,0.00455604342154247
28,376,-3.0152412667393946,0.6547383333333334,0.00243346657504283,0.005297972671619488
29,376,-2.9652029947296796,0.6428316666666667,0.002339295346439727,0.005337767840017555
30,376,-2.000375804746909,0.630925,0.0023574140029674535,0.004510602361443353
31,376,-4.342597715602096,0.6190183333333333,0.0027034456107549944,-0.001974422664213133
32,376,-4.143816472036406,0.6071116666666667,0.002612202024697871,-0.00247216244748957
33,376,-2.5887157122585904,0.595205,0.0024614567218838816,-0.0024301623033874844
34,376,-4.526996439024515,0.5832983333333334,0.0025304434825653864,-0.000940108580757527
35,376,-3.244087965745166,0.5713916666666667,0.002559806444859281,-0.0005702236702881179
36,376,-3.120827261368788,0.559485,0.002700107399389108,0.01459331448240072
37,376,-3.2227059742235724,0.5475783333333333,0.0027337279390578376,0.012955672736465435
38,376,-1.9180843981321232,0.5356716666666667,0.002726239348548722,0.01301892869068592
39,376,-1.522920507730305,0.523765,0.0027046255196724583,0.012664167654060912
40,376,-3.570168101435229,0.5118583333333333,0.0026491327584966364,0.012631571520692074
41,376,-0.527854505952682,0.4999516666666667,0.002516185831986962,0.025145097851178588
42,376,-2.790200676448876,0.48804499999999995,0.002531216235551488,0.025077758752617075
43,376,-3.498362155933137,0.47613833333333333,0.002466479208917317,0.02461385249130507
44,376,-3.8846576443065715,0.4642316666666667,0.0025157657782596712,0.02333254076632116
45,376,-4.22835192008273,0.452325,0.002483766079673474,0.02366558741530443
46,376,-2.81903759385807,0.44041833333333336,0.0023663259841107884,0.029860384136864402
47,376,-1.213578669523713,0.4285116666666666,0.002462742627261484,0.029367835528435225
48,376,-2.9682753136297606,0.416605,0.0023948308732174833,0.028792422932344786
49,376,-1.3369766627956778,0.40469833333333327,0.0024005188419362234,0.028987334978003848
50,376,-1.7324697783860756,0.39279166666666665,0.0024228658385641697,0.029219514656901122
51,376,-2.6120341980083595,0.38088500000000003,0.002491791463863263,0.03315459429831343
52,376,-0.5166529885214005,0.3689783333333334,0.0026187282664010283,0.033081338307423956
53,376,-0.7226943073965231,0.3570716666666668,0.0025524031151051415,0.03370290866835003
54,376,-1.2503189049348293,0.34516500000000006,0.002481828783044314,0.03228729294038358
55,376,-1.235013960269498,0.33325833333333343,0.0025362488222333227,0.03328520834614384
56,376,-2.744069588971797,0.3213516666666667,0.0024263338130735296,0.0387585545800864
57,376,-2.5207445609848946,0.3094450000000001,0.0024838122309178133,0.03779251715960972
58,376,-2.8244460699042975,0.29753833333333335,0.002382171945274867,0.03843664912447492
59,376,-1.2353233456142334,0.28563166666666673,0.00251363422083817,0.03745120956978582
60,376,-1.1256102313736847,0.2737250000000001,0.002459767009837533,0.0374713924074387
61,376,-0.2443658811826025,0.2618183333333334,0.002214678674639064,0.03989739982817481
62,376,-2.312165213541448,0.24991166666666675,0.0032176628895847006,0.0369913707650762
63,376,-0.7462056577278418,0.23800500000000002,0.002823946104747828,0.037582949409509035
64,376,-0.2701422710670158,0.2260983333333334,0.002708896541159273,0.03793477660362074
65,376,-0.33613027379215055,0.21419166666666667,0.0029295608997307815,0.03765429771366589
66,376,-1.2224166305968538,0.20228500000000005,0.0024749827453559464,0.033403749811770196
67,376,0.06220034595207835,0.19037833333333343,0.0024248878254822673,0.03263861663203607
68,376,0.032693816823666566,0.1784716666666667,0.0025052405834046906,0.032637887003960364
69,376,-0.2591470352672331,0.16656500000000007,0.0025610225558456807,0.03242814906147071
70,376,-0.10130450745691633,0.15465833333333334,0.0031118334459569403,0.033758285953266985
