episode,steps,reward_return,epsilon,avg_loss,avg_q
0,376,-0.5538221509996226,0.988125,0.003357049945843058,0.059273472002234324
1,376,-1.3200642966330633,0.9762183333333333,0.0021527686078619073,0.03341003611901815
2,376,-0.8224217627139293,0.9643116666666667,0.0016131720035349297,0.02530168800272959
3,376,-0.9777066786659822,0.952405,0.0015920258307968206,0.024447648530885418
4,376,-1.6015208053286187,0.9404983333333333,0.0015485914901798056,0.027377859867633657
5,376,-0.8519635002712678,0.9285916666666667,0.0015984001286771209,0.026809912607162954
6,376,-0.17694477367331268,0.916685,0.002246607641164372,0.025646829528070274
7,376,-0.9806779062291753,0.9047783333333334,0.0022454871802263833,0.02588530890445443
8,376,-1.7573303893841512,0.8928716666666667,0.0021871931625200695,0.0259275224698866
9,376,-2.074768017846509,0.880965,0.002214604843794269,0.024585479062962087
10,376,-0.8699112195827183,0.8690583333333334,0.0022796343461216548,0.024207609488896314
11,376,-0.3097832378807652,0.8571516666666666,0.002214857113319746,0.0382695846764886
12,376,-1.892891656869324,0.845245,0.0021374176167808672,0.037041648117666866
13,376,-0.8731003249158675,0.8333383333333333,0.0021866364872078115,0.03754363432427511
14,376,-0.7266656780629999,0.8214316666666667,0.002092458820775488,0.03726071610729745
15,376,-1.5986018862895441,0.809525,0.0021446800773388688,0.03591791981771747
16,376,-0.20821423173674702,0.7976183333333333,0.002230525953370701,0.04997296350948671
17,376,-0.6064537283527898,0.7857116666666667,0.0021699768081778026,0.05008850020772599
18,376,-0.7131033777695845,0.773805,0.0021743356944383817,0.04949738149669893
19,376,-0.5690702996184881,0.7618983333333333,0.0021287830819888536,0.04835806619574098
20,376,-1.305715312861139,0.7499916666666666,0.002129530865126884,0.04818278614015497
21,376,-1.4789179873550882,0.738085,0.002599674339859469,0.051864885645819474
22,376,-1.4058122208334682,0.7261783333333334,0.002591800671615737,0.052766253785329294
23,376,-1.7016432586387966,0.7142716666666666,0.0026144145234324474,0.051913946525173935
24,376,-1.8988653901760704,0.702365,0.0024992490349525706,0.050432379560624345
25,376,-1.567806296538038,0.6904583333333334,0.002463918711192549,0.04960055007262433
26,376,-1.278770568928735,0.6785516666666667,0.002285599632856208,0.06370436949060952
27,376,-0.37193494086386614,0.666645,0.0022150381773826666,0.059438073096123145
28,376,-1.1246924513689012,0.6547383333333334,0.002218452076665423,0.06137805677791859
29,376,-0.6244279944039586,0.6428316666666667,0.0022069081768425714,0.06177705325225883
30,376,-0.8477297709905547,0.630925,0.0021988541464336175,0.06082785167196329
31,376,-0.812174589926144,0.6190183333333333,0.002136694988176385,0.07821350010666758
32,376,-0.8610766636957123,0.6071116666666667,0.002155035559244038,0.0778879241106358
33,376,-0.8616388979025944,0.595205,0.002149355054419349,0.07625986331518977
34,376,-1.2359675971383695,0.5832983333333334,0.002082719134434344,0.07588798094025635
35,376,-0.9039425954106264,0.5713916666666667,0.002032286311039067,0.07548053308013589
