episode,steps,reward_return,avg_policy_loss,avg_value_loss,avg_entropy,avg_kl,clip_fraction,action_mean,action_std,avg_cash_ratio,avg_position_ratio,episode_return_rate
0,376,-0.0029782938363496214,0.0002447198145091534,0.01454794534171621,0.4187628348668416,0.0016650627056757608,0.044149305857717994,0.4934815158076743,0.16040625550481769,0.506036346124734,0.4939636538752659,0.23824426641836816
1,376,-0.22729437047382817,-0.001584628876298666,0.009002479755630096,0.4177885055541992,-0.0030521147564286366,0.03789930591980616,0.49488613263089604,0.1652971084048784,0.505291872562267,0.49470812743773296,-0.3246089830099075
2,376,0.25677376532985363,-0.0006960157305002212,0.021324631726990142,0.4154709577560425,0.005795796304785957,0.08564236148570975,0.4789789116921577,0.16991338053306906,0.5194979847220493,0.48050201527795056,1.9288452834400003
3,376,0.28938615196966566,-0.00019921432249248028,0.02374082083503405,0.41387101511160534,-0.003628861232815931,0.016024305702497563,0.4814135998170427,0.16101808311361082,0.5169937366382649,0.4830062633617351,2.0293718677564105
4,376,0.2761146117991302,-0.0028942208581914505,0.016104903103162847,0.41233869989713035,0.005335899379376011,0.020642361293236416,0.4739667051174539,0.16444568078745356,0.5248808727280302,0.47511912727196975,0.8972362913996423
5,376,-0.03672675689449534,-0.001000120973912999,0.00829981140171488,0.41041650672753655,0.001967905778049802,0.013506944570690394,0.48396964410835125,0.16603472764893876,0.5153794799500883,0.4846205200499118,0.6232951860780789
6,376,0.15015721281815786,-0.0003472545649856329,0.011007397839178642,0.4100446124871572,0.0009626105061518804,0.03032986124356588,0.4794139875535001,0.1703266801382456,0.5201314093631685,0.4798685906368315,0.27409086079381484
7,376,-0.06912252467054714,4.2876312121128043e-05,0.011615665132800738,0.40978426933288575,0.0010727937595220282,0.0018750000124176343,0.4690215210331247,0.16903565618619357,0.5304931552379012,0.4695068447620988,0.32704647750708804
8,376,0.3602600113663357,-0.005814973377467444,0.008502721196661393,0.40749372641245524,-0.002430495934095234,0.06473958405355612,0.46238692263339426,0.17242056101259198,0.5373191595465098,0.46268084045349017,0.21328366207955374
9,376,-0.07763986123609357,-0.006629266558835904,0.011223149858415127,0.4058139681816101,0.002167374452983495,0.05982638901720445,0.46652914900729,0.1628924326167522,0.5339660433260806,0.46603395667391945,-0.3837293269780019
10,376,-0.1582675635581836,-0.002971120473618309,0.013276949524879456,0.4064693341652552,-0.0025048012922828395,0.0922569445023934,0.4620940220799852,0.17602980517570055,0.538476113296122,0.46152388670387795,-0.38819898907833517
11,376,-0.01619475134066306,-0.0028224955312907696,0.010464246633152168,0.4075381994247437,0.0037234395364066585,0.03784722260509928,0.46595884915044966,0.16956985388498605,0.5336204624077576,0.4663795375922424,0.11825325045104251
12,376,-0.07951829069133964,-0.005914376303553581,0.008602094588180382,0.4081853876511256,0.0001846643960258613,0.11355902906507254,0.4742403761979113,0.172953634244805,0.5248099954501506,0.4751900045498495,1.0519097220469713
13,376,-0.12644622850348242,-7.570954039692879e-06,0.01086852775576214,0.4087804565827052,-0.0020809120345802513,0.03423611139878631,0.4840491700996744,0.16173463619705633,0.5146405929783896,0.4853594070216104,1.5098847839956369
14,376,-0.32552482731989585,-0.0024519337341189383,0.009626237116754055,0.40775919059912363,0.0013156422588508575,0.06020833362514774,0.462392306866798,0.17548539631918175,0.537794828842493,0.46220517115750703,-0.23930227049454977
15,376,0.25195164189790376,-0.0028722195886075495,0.015407848575462898,0.4080674568812052,-0.0021768379219186803,0.05001736146708329,0.48369064927101135,0.16719132628149352,0.5155720648712236,0.4844279351287764,0.6511349925015724
16,376,-0.2126782983314115,-0.0018241958692669868,0.0063454332140584786,0.40903737942377727,0.004534383275313303,0.020381944657613834,0.45465876154126006,0.17353350294179348,0.5451222349849395,0.4548777650150605,0.17241044619089685
17,376,0.26936992349510547,-0.003591382130980492,0.010285034279028575,0.40989390512307483,0.0044140280457213524,0.048836805888762075,0.4746791345483445,0.16649871766223362,0.5244387886121588,0.47556121138784135,1.0067440003903725
18,376,0.0212867875345637,-0.005027660929287473,0.007374864801143606,0.4101899186770121,0.005504286130114148,0.09593750027318795,0.4777072821842863,0.1749914522599985,0.5213795813642553,0.47862041863574467,0.45381090818065295
19,376,-0.10523157959687524,-0.005378346048140277,0.010838456513981024,0.4106976389884949,-0.0009816278897536298,0.0854687498571972,0.508394949058903,0.17711401502192153,0.490268795508136,0.5097312044918639,0.8456017170866637
20,376,0.05384144987328909,-0.005732755347465476,0.015777617723991475,0.4116863360007604,0.004927250888431445,0.05706597243746122,0.48312517350658457,0.1810009015979601,0.5168302451010183,0.4831697548989817,-0.09364507358036223
21,376,0.02947291508462513,-0.004070469116171201,0.007914571122576793,0.4120651066303253,0.0005137672404089244,0.06953125052774946,0.47665320669716976,0.17649873781552353,0.5227356928002999,0.4772643071997002,0.1887461105799595
22,376,0.38284240704160766,-0.0008959230656425158,0.008369930321350694,0.41270490884780886,0.005813681648578495,0.011666666778425375,0.48960912830017983,0.16832370712043945,0.5101028936489611,0.48989710635103884,0.2791989350901478
23,376,-0.7800439193615603,-0.0027780912506083647,0.013939638373752434,0.41347693701585136,0.005773186945589259,0.03178819483146071,0.4655923124482023,0.1661904337718424,0.5347411395179936,0.4652588604820063,-0.4752013445477581
24,376,0.017463011361542158,-0.0018742732082804045,0.01310948459431529,0.4127592374881109,0.004299732926301658,0.08788194426645836,0.504691916181052,0.18941834461662907,0.4939085346903951,0.5060914653096049,0.8343893545685315
25,376,0.10685571386420634,-0.0027488690956185263,0.0113427447155118,0.41255534390608467,0.0009135993664585839,0.034565972598890465,0.48551991898962793,0.18858336157322436,0.5136731606309962,0.4863268393690038,0.3024875183716855
26,376,0.028527721515274607,-0.001456655499835809,0.011042632441967726,0.41260786255200704,-0.00029952401237096635,0.015086805696288745,0.4882184138640444,0.18512230505729604,0.5108183757747031,0.4891816242252968,1.01509546075454
27,376,-0.6170337880394072,-0.00454285844332642,0.009218737069103453,0.41319132844607037,0.013342848280444741,0.2140625019868215,0.4793493742955492,0.18829543803626578,0.5205146175262377,0.47948538247376227,-0.1998951719210854
28,376,0.13926733854896156,-0.0036117498142023883,0.009042506866777936,0.4134004553159078,-0.0011834151606308295,0.08467013885577519,0.504560132451514,0.201797044434153,0.49502887270535845,0.5049711272946414,0.10612672255207634
29,376,-0.07061968166817678,-0.005225905341406664,0.010888661878804365,0.4131646861632665,0.007411589686914037,0.0989930560812354,0.5003688140435422,0.19925355503104403,0.49919845132348983,0.5008015486765102,0.07577338356619623
30,376,0.8023993183014682,-0.003817330797513326,0.01013214144234856,0.4126739929119746,0.005221747674901659,0.05444444495563706,0.49966942209829673,0.19291194983760904,0.5003921966995322,0.49960780330046783,-0.12178972176883562
31,376,0.07703177566145314,-0.0005313663743436337,0.00980339910214146,0.411957519253095,0.0018513109835718447,0.018090278003364803,0.5140645335963432,0.19985451571615373,0.48544436972403016,0.5145556302759698,0.08628939591872742
32,376,-0.02127280944841914,-0.0020161733652154603,0.010493164323270321,0.4110820949077606,0.0021078407919655246,0.02967013921588659,0.517885101364648,0.19338118946390373,0.4822690239777751,0.517730976022225,-0.5298498658825865
33,376,-0.3846270425929106,-0.00234970065454642,0.013322241914769014,0.4098648647467295,-5.40001531286786e-05,0.05208333386108279,0.5074380437268856,0.1946897379270038,0.4929399305307692,0.5070600694692309,-0.5992670938399448
34,376,-0.35677038408539374,-0.0020274666137993337,0.026909205814202627,0.4077364275852839,-0.00022391511981065075,0.0234722224685053,0.5533398041858318,0.18424122914201624,0.4450686375621592,0.5549313624378408,3.8167741204744994
35,376,0.46564352203859016,-0.002277857655038436,0.010156718005115787,0.40692689617474875,-3.529692961213489e-05,0.04380208362514774,0.5163764021498092,0.18205986918433276,0.483977277574401,0.516022722425599,-0.4957912405243283
36,376,-0.3053937000804581,-0.0031589289254043253,0.006499812131126722,0.4041424185037613,0.0006867396781065812,0.04060763918484251,0.5398793505861404,0.18045407927678184,0.45986400007364897,0.5401359999263511,0.4775067076211914
37,376,0.08439395588357002,-0.00020431133452802896,0.009144195619349678,0.4003150095542272,-0.0011749124979057038,0.008437500055879354,0.5103522402809021,0.1781468897407436,0.4889677333817877,0.5110322666182123,0.5886754882714236
