episode,steps,reward_return,avg_policy_loss,avg_value_loss,avg_entropy,avg_kl,clip_fraction,action_mean,action_std,avg_cash_ratio,avg_position_ratio,episode_return_rate
0,376,-0.0029782938363496214,7.106256671249867e-05,0.014334153663367034,0.41904152830441793,0.003313500162039418,0.045590278195838135,0.4934815158076743,0.16040625550481769,0.506036346124734,0.4939636538752659,0.23824426641836816
1,376,-0.22598005257168552,-0.0007079017256425383,0.008775347238406539,0.41683457295099896,-0.002440295892301947,0.0763194448625048,0.50287267288312,0.16531843175723793,0.49731390613948706,0.5026860938605129,-0.3239318339442442
2,376,0.2567796374532918,-0.00231913427511851,0.02332152184098959,0.4095616747935613,0.005753935676330002,0.06461805598810315,0.4579307482122107,0.17079460876865857,0.5405253536961013,0.4594746463038986,1.8193394059101538
3,376,0.2744630491361022,0.0007486044118801753,0.024716207447151344,0.403441858291626,-0.00017665002087596804,0.03223958360031247,0.4753902922285364,0.16143232926393547,0.5230214478458918,0.4769785521541083,1.9787366383280363
4,376,0.27948866700171493,-0.003059127399077018,0.015238467945406835,0.39792904257774353,0.00911999044183176,0.05786458390454451,0.481677262469175,0.16422725744674532,0.5171673486631838,0.48283265133681613,0.9107282821705911
5,376,-0.03502972317801323,-0.002024563153584798,0.008007577713578939,0.39213740527629853,0.005966895937672234,0.061406250360111395,0.4752988407110914,0.16432417394363472,0.524045510883022,0.4759544891169781,0.6056768135171136
6,376,0.14446674360806355,0.0013398305534131148,0.010640308557247574,0.3915367925708944,0.004911139204936758,0.05243844682858749,0.46464237721359475,0.170081483878196,0.5349003828556511,0.46509961714434894,0.2576512297875253
7,376,-0.2530667733808514,-0.007101148987809817,0.010211422542730967,0.39390168289343513,0.005398867476469604,0.07456597260509928,0.4396364598515186,0.1596636803196086,0.5598911127813948,0.44010888721860514,0.2450633586224229
8,376,0.48005714408282074,-0.001652157586067915,0.008350497903302312,0.3939014941453934,0.005142639617649062,0.06932291680326065,0.43444415276989023,0.1658314020291575,0.5652439084331935,0.4347560915668065,0.16666436915414962
9,376,0.029505467789931572,0.005541446432471275,0.009195161052048206,0.39066717624664304,0.01575627438724041,0.0625,0.41627061509705604,0.1580832251140015,0.5841915750821034,0.41580842491789655,-0.41367472904096103
10,376,-0.12184468869236298,-0.002140624091650049,0.009141091754039129,0.3878150890270869,0.00916723624492685,0.04048611142983039,0.4468723552182634,0.14904143907313216,0.5535281531456108,0.4464718468543892,-0.3951460572332156
11,376,-0.2773173203895567,-0.004347913751476689,0.013864172818629365,0.38399426560652883,0.0120883707667848,0.038185307412947476,0.4347205971308211,0.16557868669730041,0.5647753793744632,0.4352246206255368,0.3370948772898854
12,376,0.07577988444199946,-0.00273771183565259,0.015863884426653384,0.3807328184445699,-0.002645753607309113,0.07428819468865792,0.43035848708228863,0.17069502434987158,0.5687069205044142,0.4312930794955858,0.6516424015023543
13,376,-0.1959185762971174,-0.00304409551123778,0.012641342108448346,0.38288733462492625,-0.0019201545180597653,0.04453125024835269,0.42638719811084425,0.15629894064913105,0.5723352970739733,0.4276647029260267,1.226518662325077
