episode,steps,reward_return,episode_return_rate,avg_q1_loss,avg_q2_loss,avg_actor_loss,avg_alpha_loss,alpha,avg_entropy,action_mean,action_std,avg_cash_ratio,avg_position_ratio
0,376,0.07311650591145735,0.2896734481003791,0.0,0.0,0.0,0.0,0.2,0.0,0.4916493505031425,0.28477286326286105,0.5079817861834602,0.49201821381653965
1,376,-0.4348757033585571,-0.18445264611268375,0.0,0.0,0.0,0.0,0.2,0.0,0.504473467189026,0.2931748481666142,0.4955364079597093,0.5044635920402907
2,376,0.3606293994016596,1.1670098947256906,0.0031067668333967296,0.003434825929553183,-0.2354610584849535,-1.9241498098816983,0.19240092840214332,0.6814235485801401,0.4890676747104698,0.29950025031526867,0.5096249934134115,0.4903750065865885
3,376,0.22707074480081246,1.0094951120968827,0.002382180188780036,0.0024182756804177496,-0.3639296312281426,-2.0142888338007827,0.17187592271493546,0.6817970466106495,0.5079498134077863,0.2914943281577386,0.49090159870622074,0.5090984012937793
4,376,0.2849743072729325,0.35545098436950084,0.002922022187936199,0.002888917559175752,-0.5274013900693427,-2.148240753944884,0.15353753620279223,0.6821395570927478,0.514496727906009,0.298343707536899,0.48489435262967984,0.5151056473703202
5,376,-0.11387910164921777,0.36001260977417804,0.0032241038483953937,0.003233824380081484,-0.6765533102319595,-2.2811198412103857,0.13716110827357336,0.6818940289160038,0.48423473259552996,0.29216060761826057,0.514983181936912,0.485016818063088
6,376,0.3024534252654121,0.12564599401763288,0.003477873989044035,0.003500437243851496,-0.8070820893378968,-2.414238784541475,0.1225307099130713,0.6818046508000252,0.4856417875023598,0.29190834944041316,0.5140212676958779,0.4859787323041221
7,376,-0.055282157511101104,0.005415125120048936,0.003999744069779866,0.004044105239371036,-0.9199817754486774,-2.5478270434318704,0.10946141325754084,0.6819373849541583,0.5067496701599435,0.29431942362397234,0.4927062895325836,0.5072937104674164
8,376,0.30999819564317477,-0.14184962955069025,0.004154679845359692,0.004171964129745128,-1.017490749029403,-2.681351589395645,0.09778351157167013,0.6820221242118389,0.5459162028546029,0.29270144380900376,0.4536515131495074,0.5463484868504926
9,376,-0.22758410596907197,-0.47756242996065246,0.004360356028166976,0.004369829369874849,-1.100942775924155,-2.8127862582815455,0.08735754157318429,0.681238462157706,0.509673693950506,0.29848926224456707,0.4904693455947212,0.5095306544052788
