Date,Price,Open,High,Low,Vol.,Change %
"Feb 17, 2026","67,503.52","68,892.43","69,241.5","66,621.06",16.49K,-2.02%
"Feb 16, 2026","68,892.43","68,832.59","70,126.67","67,294.11",15.52K,0.09%
"Feb 15, 2026","68,832.58","69,822.94","70,983","68,000",22.29K,-1.42%
"Feb 14, 2026","69,822.95","68,853.97","70,560.01","68,730.13",18.11K,1.41%
"Feb 13, 2026","68,853.96","66,272.17","69,482.97","65,872.46",20.24K,3.90%
"Feb 12, 2026","66,272.17","67,082.52","68,410.52","65,118",24.27K,-1.21%
"Feb 11, 2026","67,082.52","68,841.28","69,292.88","65,756",28.72K,-2.55%
"Feb 10, 2026","68,841.29","70,138","70,527.59","67,800",20.37K,-1.85%
"Feb 09, 2026","70,138","70,330.38","71,453.53","68,308",29.15K,-0.27%
"Feb 08, 2026","70,330.38","69,289.37","72,271.41","68,888",21.42K,1.50%
"Feb 07, 2026","69,289.38","70,580.26","71,690.07","67,300",44.26K,-1.83%
"Feb 06, 2026","70,580.26","62,909.87","71,751.33","60,000",92.54K,12.19%
"Feb 05, 2026","62,909.86","73,165.84","73,341.18","62,345",106.30K,-14.02%
"Feb 04, 2026","73,165.83","75,770.21","76,971.52","71,888",38.38K,-3.44%
"Feb 03, 2026","75,770.21","78,738.6","79,186.81","72,945.5",39.12K,-3.77%
"Feb 02, 2026","78,738.61","76,968.22","79,360","74,604",42.27K,2.30%
"Feb 01, 2026","76,968.21","78,741.1","79,424","75,700",25.40K,-2.25%
"Jan 31, 2026","78,741.09","84,260.5","84,270.02","75,719.9",39.49K,-6.55%
"Jan 30, 2026","84,260.49","84,650.16","84,735.75","81,118",35.20K,-0.46%
"Jan 29, 2026","84,650.16","89,300","89,348","83,383.33",30.43K,-5.21%
"Jan 28, 2026","89,299.99","89,249.99","90,600","88,833.65",14.33K,0.06%
"Jan 27, 2026","89,250","88,347.08","89,523.16","87,304.33",13.13K,1.02%
"Jan 26, 2026","88,347.08","86,670.36","88,860","86,509.63",17.77K,1.93%
"Jan 25, 2026","86,670.36","89,225.34","89,319.13","86,074.72",14.43K,-2.86%
"Jan 24, 2026","89,225.34","89,600.26","89,957.39","89,162.08",4.23K,-0.42%
"Jan 23, 2026","89,600.26","89,559.68","91,224.99","88,578.36",13.92K,0.05%
"Jan 22, 2026","89,559.67","89,454.73","90,359.99","88,515.37",10.83K,0.12%
"Jan 21, 2026","89,454.73","88,427.66","90,574","87,263.53",20.62K,1.16%
"Jan 20, 2026","88,427.66","92,630.99","92,870","87,895.98",22.01K,-4.54%
"Jan 19, 2026","92,631","93,673.14","93,673.14","91,910.2",14.30K,-1.11%
"Jan 18, 2026","93,673.14","95,147.77","95,531.12","93,615.4",6.90K,-1.55%
"Jan 17, 2026","95,147.77","95,550.94","95,639.45","95,021.67",4.28K,-0.42%
"Jan 16, 2026","95,550.94","95,604.81","95,871.47","94,293.46",11.17K,-0.06%
